
"ID_Event,Date,Heure,Type,Composant,Severite,Description,Action_Prise,Statut,Duree_Resolution_Min,Technicien"
"SYS00009,2025-02-20,09:17:56,Log_Systeme,Base_Donnees,Info,Operation maintenance automatique terminee,Aucune action requise,Termine,0,Automatique"
"MAINT004,2025-03-01,23:30:00,Maintenance,Systeme_Complet,Important,Mise a jour majeure v4.0.0,Installation reussie - migration donnees OK,Complete,240,Equipe_Projet"
"SYS00010,2025-03-02,06:15:22,Log_Systeme,Serveur_Application,Info,Premier demarrage v4.0.0,Verification complete systeme,Termine,0,Automatique"
"INC00007,2025-03-02,08:45:17,Incident,Interface_Utilisateur,Faible,Anomalies mineures affichage post-mise a jour,Corrections CSS appliquees,Resolu,60,Lucas_Petit"
"NET00005,2025-03-10,14:02:33,Log_Reseau,Firewall,Alert,Detection scan de ports,Blocage automatique IP source,Termine,0,Automatique"
"SYS00011,2025-03-15,19:45:08,Log_Systeme,Serveur_Application,Error,Arret inattendu service rapports,Redemarrage automatique reussi,Termine,0,Automatique"
"INC00008,2025-03-16,08:30:22,Incident,Module_Rapports,Moyen,Investigation arret inattendu,Identification bug - correctif deploye,Resolu,120,Camille_Dubois"
"SYS00012,2025-03-20,10:25:16,Log_Systeme,Base_Donnees,Warning,Index fragmentes,Planification defragmentation,Termine,0,Automatique"
"MAINT005,2025-03-22,23:00:00,Maintenance,Base_Donnees,Normal,Defragmentation et optimisation indexes,Operation reussie - performance amelioree,Complete,180,Philippe_Renard"
"SYS00013,2025-04-01,08:00:15,Log_Systeme,Serveur_Application,Info,Demarrage normal du systeme,Surveillance routine,Termine,0,Automatique"
"INC00009,2025-04-05,11:20:44,Incident,Module_Commandes,Critique,Blocage nouvelles commandes,Identification deadlock BDD - resolution,Resolu,90,Sophie_Martin"
"NET00006,2025-04-10,09:55:27,Log_Reseau,Reseau_Complet,Info,Test bande passante OK (950Mbps),Aucune action requise,Termine,0,Automatique"
"MAINT006,2025-04-15,22:30:00,Maintenance,Securite,Normal,Mise a jour certificats SSL,Renouvellement reussi,Complete,45,Equipe_Securite"
"SYS00014,2025-04-16,03:15:18,Log_Systeme,Serveur_Application,Warning,CPU utilisation pic 92% (2min),Surveillance accrue,Termine,0,Automatique"
"NET00007,2025-04-16,07:30:05,Log_Reseau,DNS_Principal,Info,Resolution normale - temps reponse 30ms,Aucune action requise,Termine,0,Automatique"
